Epoch,Train_Loss,Val_Loss,Test_Loss
1,0.029863583234449226,0.12419707576433818,0.3527103579706616
2,0.011075137593295602,15.779766844378578,18634.668403201635
3,0.008008867940155878,0.004229571127022306,0.14933987921621236
4,0.002059341322386726,0.004571343859424815,0.4427408830573161
5,0.0015310657133037846,0.007759164708356063,0.2602841494501465
6,0.0013211780224948945,0.0013892215210944414,0.07006799710345352
7,0.001143254134582267,0.0005284994242376544,0.03203731706728124
8,0.0011052141711670196,0.0005345882107374362,0.02802173942068799
9,0.0010653293394993636,0.00048165446787606925,0.02433483712310489
10,0.001125118452667569,0.0005006555115364285,0.01695947515933464
11,0.0009650183145865975,0.0005238104947946138,0.0219229487346537
12,0.0009516946835598598,0.0006655152667210334,0.019976062247426145
13,0.0009196876663260074,0.0006056318977951176,0.011232139277530627
14,0.0008474684201203109,0.0004365091218561348,0.009134118228555761
15,0.0009156780371475699,0.00048470294698038034,0.0084490826443976
16,0.0008566280857415958,0.00044007578334357176,0.01081308227730915
17,0.0008312792460423051,0.0004296633172392224,0.0034700912332886625
18,0.0008373743815657994,0.0004950497645444961,0.0045722730606535655
19,0.0007739453070652893,0.0005218873718856937,0.002411790864749087
20,0.0007655901080440907,0.0003922230502616407,0.004453554652476062
21,0.0007169410209393217,0.0004210996186076146,0.005036796058347035
22,0.0006890892843893241,0.0011614530230872333,0.0018081831577647892
23,0.0006629525610367723,0.0004116135759330872,0.00319442600529227
24,0.0007005554528274972,0.00039311679008985974,0.00203469182856174
25,0.0006835645208844827,0.0004289690308117618,0.0015696000579434137
26,0.0006670587567246652,0.0008821054588123742,0.0015498635184485465
27,0.0006957718218299782,0.0003961999690444726,0.0023785168887116015
28,0.0006697274643340192,0.0007126007533063077,0.001329425880814799
29,0.0006798748786206401,0.0006340238485588796,0.0012933604820217523
30,0.0006038509475599442,0.0004978099766756512,0.0011685466937099893
31,0.0006294348318728485,0.0006763956205557204,0.0013184705684478912
32,0.0005952159560928564,0.0014067124898752405,0.002865670378216439
33,0.0005575283479023104,0.0006543658770776043,0.0014186281219331755
34,0.0005351827400902819,0.0006448255185710473,0.0013064607434595625
35,0.0005663291847754625,0.0005029778694733977,0.00121265168612202
