Date,Open,High,Low,Close,Adj Close,Volume,Stock
2017-02-13,4844.22021484375,4906.7099609375,4841.60009765625,4888.18994140625,4888.18994140625,102000800,CAC 40 Index
2017-02-14,4887.22998046875,4897.89013671875,4878.7900390625,4895.81982421875,4895.81982421875,95785900,CAC 40 Index
2017-02-15,4910.56982421875,4932.35009765625,4902.16015625,4924.85986328125,4924.85986328125,96447600,CAC 40 Index
2017-02-16,4925.5400390625,4928.25,4890.47998046875,4899.4599609375,4899.4599609375,91475500,CAC 40 Index
2017-02-17,4896.97021484375,4903.16015625,4843.009765625,4867.580078125,4867.580078125,102966800,CAC 40 Index
2017-02-20,4894.25,4901.41015625,4856.1201171875,4864.990234375,4864.990234375,68415900,CAC 40 Index
2017-02-21,4865.89013671875,4900.3798828125,4849.91015625,4888.759765625,4888.759765625,83739300,CAC 40 Index
2017-02-22,4899.64990234375,4922.64013671875,4866.1201171875,4895.8798828125,4895.8798828125,99237500,CAC 40 Index
2017-02-23,4900.7998046875,4916.43994140625,4880.490234375,4891.2900390625,4891.2900390625,107821600,CAC 40 Index
2017-02-24,4886.509765625,4890.10986328125,4806.490234375,4845.240234375,4845.240234375,117178100,CAC 40 Index
2017-02-27,4864.1298828125,4869.509765625,4833.77001953125,4845.18017578125,4845.18017578125,89282400,CAC 40 Index
2017-02-28,4862.64990234375,4865.9501953125,4836.52978515625,4858.580078125,4858.580078125,96712700,CAC 40 Index
2017-03-01,4897.47998046875,4970.64013671875,4897.47998046875,4960.830078125,4960.830078125,120246400,CAC 40 Index
2017-03-02,4965.27001953125,4972.8798828125,4955.41015625,4963.7998046875,4963.7998046875,106837200,CAC 40 Index
2017-03-03,4953.2998046875,5002.31982421875,4948.72021484375,4995.1298828125,4995.1298828125,105338700,CAC 40 Index
2017-03-06,4983.9599609375,4985.240234375,4960.259765625,4972.18994140625,4972.18994140625,90426900,CAC 40 Index
2017-03-07,4974.7900390625,4974.7900390625,4941.259765625,4955.0,4955.0,79830000,CAC 40 Index
2017-03-08,4941.18017578125,4976.0400390625,4933.77001953125,4960.47998046875,4960.47998046875,82332500,CAC 40 Index
2017-03-09,4950.52978515625,4988.6298828125,4939.8701171875,4981.509765625,4981.509765625,114473500,CAC 40 Index
2017-03-10,4994.0,5022.10009765625,4990.14990234375,4993.31982421875,4993.31982421875,103802900,CAC 40 Index
2017-03-13,4997.8798828125,5013.080078125,4986.06005859375,4999.60009765625,4999.60009765625,84024800,CAC 40 Index
2017-03-14,5006.0498046875,5006.0498046875,4958.8798828125,4974.259765625,4974.259765625,91792700,CAC 40 Index
2017-03-15,4980.0498046875,4989.2998046875,4966.0498046875,4985.47998046875,4985.47998046875,81890200,CAC 40 Index
2017-03-16,5027.10009765625,5031.56982421875,5004.6201171875,5013.3798828125,5013.3798828125,113121800,CAC 40 Index
2017-03-17,5006.7099609375,5037.85009765625,5001.39013671875,5029.240234375,5029.240234375,160166500,CAC 40 Index
2017-03-20,5008.080078125,5030.06005859375,5004.080078125,5012.16015625,5012.16015625,64225900,CAC 40 Index
2017-03-21,5030.2001953125,5054.91015625,4990.64013671875,5002.43017578125,5002.43017578125,93549600,CAC 40 Index
